segundo,wl04,wl05,wl06
227,13.257,22.377,18.889
228,13.297,22.194,19.257
229,13.267,22.25,19.589
230,13.2,22.463,18.997
231,13.17,22.366,19.493
232,13.045,22.401,19.305
233,13.248,22.471,18.909
234,13.1,22.315,18.867
235,13.113,22.152,19.42
236,13.219,22.32,19.14
237,13.216,22.472,19.42
238,13.113,22.219,19.357
239,13.215,22.319,18.977
240,13.038,22.39,19.099
241,13.089,22.25,18.762
242,13.214,22.204,19.511
243,13.092,22.211,18.574
244,13.17,22.459,19.431
245,13.21,22.363,18.719
246,13.227,22.354,18.839
247,13.143,22.162,18.977
248,13.18,22.369,18.749
249,13.209,22.291,19.154
250,13.17,22.601,18.99
251,13.208,22.47,19.108
252,13.121,22.379,19.33
253,13.088,22.298,18.578
254,13.101,22.097,18.997
255,13.202,22.251,18.604
256,13.16,22.22,19.228
257,13.095,22.323,18.798
258,13.257,22.458,18.992
259,13.181,22.491,19.327
260,13.169,22.36,19.276
261,13.235,22.355,18.767
262,13.132,22.36,19.187
263,13.171,22.141,18.849
264,13.254,22.254,19.05
265,13.247,22.024,19.37
266,13.224,22.545,19.016
267,13.235,22.332,19.258
268,13.314,22.494,19.074
269,13.251,22.674,18.909
270,13.18,22.312,18.952
271,13.244,22.236,19.152
272,13.245,22.53,19.335
273,13.296,22.32,18.761
274,13.231,22.174,19.039
275,13.243,22.46,19.01
276,13.2,22.356,18.736
277,13.271,22.541,19.395
278,13.27,22.32,18.94
279,13.214,22.237,19.104
280,13.294,22.45,18.28
281,13.259,22.16,19.198
282,13.35,22.247,19.039
283,13.229,22.204,18.635
284,13.057,22.598,18.885
285,13.135,22.475,18.788
286,13.191,22.335,18.583
287,13.093,22.578,18.557
288,13.136,22.593,18.234
289,13.171,22.558,18.672
290,13.068,22.405,18.335
291,13.156,22.365,18.514
292,13.131,22.377,18.758
293,13.07,21.734,18.954
294,13.191,21.436,18.648
295,13.188,21.596,20.137
296,13.125,22.42,19.278
297,13.104,22.216,17.687
298,13.213,22.303,17.735
299,13.277,22.518,17.558
300,13.047,22.416,19.569
301,13.137,22.433,20.787
302,13.245,22.543,20.148
303,13.049,22.311,21.68
304,13.19,22.525,20.102
305,13.137,22.389,20.067
306,13.27,22.415,19.654
307,13.165,22.424,19.255
308,13.075,22.274,19.105
309,13.235,22.455,19.372
310,13.238,22.379,19.715
311,13.101,22.206,19.29
312,13.136,22.278,19.019
313,13.239,22.348,19.126
314,13.068,22.416,19.254
315,13.145,22.207,19.605
316,13.165,22.438,18.929
317,13.112,22.465,19.282
318,13.174,22.331,19.304
319,13.177,22.421,19.206
320,13.163,22.597,19.396
321,13.073,22.632,19.349
322,13.22,22.285,19.207
323,13.243,22.366,19.303
324,13.16,22.531,19.189
325,13.235,22.159,18.924
326,13.274,22.285,19.206
327,13.203,22.351,18.852
328,13.22,22.365,19.068
329,13.225,22.387,19.323
330,13.261,22.484,19.126
331,13.253,22.462,18.578
332,13.24,22.487,18.805
333,13.165,22.215,18.922
334,13.234,22.32,18.954
335,13.227,22.377,19.167
336,13.306,22.542,19.267
337,13.273,22.54,19.152
338,13.261,22.396,19.397
339,13.223,22.578,18.979
340,13.283,22.365,19.04
341,13.29,22.41,18.702
342,13.334,22.436,18.954
343,13.291,22.569,19.122
344,13.154,22.524,19.598
345,13.266,22.624,19.076
346,13.144,22.306,18.776
347,13.086,22.4,18.91
348,13.217,22.292,19.399
349,13.187,22.511,18.811
350,13.185,22.436,19.4
351,13.099,22.797,19.179
352,13.232,22.387,19.125
353,13.221,22.477,19.227
354,13.085,22.246,18.97
355,13.119,22.239,19.585
356,13.196,22.38,19.187
357,13.184,22.392,19.224
358,13.177,22.597,19.527
359,13.213,22.277,19.327
360,13.146,22.252,19.168
361,13.144,22.302,19.283
362,13.219,22.345,19.088
363,13.067,22.32,19.354
364,13.17,22.448,19.009
365,13.109,22.458,19.12
366,13.174,22.282,19.063
367,13.035,22.384,19.268
368,13.208,22.332,19.485
369,13.04,22.339,19.247
370,13.183,22.365,19.025
371,13.229,22.352,19.221
372,13.102,22.244,18.974
373,13.227,22.411,19.022
374,13.101,22.689,18.92
375,13.266,22.66,19.701
376,13.133,22.382,19.372
377,13.096,22.426,19.079
378,13.235,22.502,18.725
379,13.16,22.274,19.316
380,13.291,21.976,19.13
381,13.28,22.362,19.182
382,13.218,22.544,19.549
383,13.219,22.423,19.012
384,13.271,22.54,19.604
385,13.246,22.403,19.62
386,13.25,22.458,19.135
387,13.239,22.661,19.356
388,13.263,22.454,19.402
389,13.199,22.429,19.077
390,13.23,22.42,19.758
391,13.256,22.406,19.183
392,13.232,22.313,19.112
393,13.227,22.359,19.54
394,13.252,22.159,19.187
395,13.19,22.303,19.083
396,13.097,22.608,19.396
397,13.154,22.542,19.29
398,13.151,22.406,19.073
399,13.216,22.513,19.784
400,13.195,22.355,19.485
401,13.24,22.401,19.004
402,13.172,22.556,18.881
403,13.246,22.14,19.123
404,13.201,22.485,19.21
405,13.15,22.418,19.13
406,13.154,22.514,19.157
407,13.114,22.428,18.684
408,13.149,22.423,19.021
409,13.078,22.142,19.095
410,13.259,22.248,18.972
411,13.171,22.457,18.932
412,13.125,22.411,19.243
413,13.225,22.321,18.868
414,13.05,22.44,18.855
415,13.181,22.415,19.134
416,13.058,22.464,18.747
417,13.065,22.244,18.867
418,13.195,22.314,19.014
419,13.258,22.305,18.817
420,13.128,22.451,18.96
421,13.15,22.429,19.208
422,13.122,22.211,18.885
423,13.31,22.302,18.65
424,13.164,22.234,18.756
425,13.249,22.281,18.983
426,13.218,22.642,18.761
427,13.159,22.411,19.369
428,13.047,22.664,20.477
429,13.195,22.306,19.136
430,13.193,22.499,18.124
431,13.229,22.452,21.182
432,13.198,22.526,20.905
433,13.263,22.276,21.121
434,13.267,22.211,22.956
435,13.256,22.367,20.123
436,13.239,22.443,19.029
437,13.263,22.327,19.577
438,13.218,22.275,19.17
439,13.282,22.409,18.979
440,13.229,22.241,19.447
441,13.233,22.445,19.14
442,13.276,22.616,19.258
443,13.261,22.348,18.502
444,13.261,22.568,18.879
445,13.212,22.372,19.012
446,13.24,22.498,19.036
447,13.219,22.338,19.224
448,13.198,22.319,18.99
449,13.264,22.363,19.095
450,13.226,22.128,18.752
451,13.178,22.223,19.113
452,13.053,22.484,19.484
453,13.206,22.404,18.647
454,13.106,22.463,19.284
455,13.11,22.256,19.567
456,13.154,22.623,19.207
457,13.208,22.38,18.883
458,13.117,22.647,19.063
459,13.131,22.541,19.169
460,13.187,22.066,19.209
461,13.216,22.083,19.116
462,13.185,22.304,19.485
463,13.094,22.558,19.576
464,13.155,22.292,19.464
465,13.174,22.411,19.103
466,13.117,22.327,19.147
467,13.173,22.41,19.411
468,13.211,22.28,19.023
469,13.183,22.49,19.442
470,13.128,22.448,19.207
471,13.181,22.275,19.171
472,13.11,22.375,19.22
473,13.171,22.507,19.237
474,13.108,22.223,18.822
